fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240509 151502	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	96	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.160133068839101	0.817640673088436	753	1205	12855	59094370.3148426	1
20240509 152111	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	114	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.245934855701652	0.659555442773861	1607	639	13301	54064316.3418291	2
20240509 152435	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	92	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.404489524040562	0.712423477254129	1430	1422	10859	50348157.4212894	3
20240509 152939	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	198	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.212827640072797	0.581966075027348	274	1004	13638	56490197.9010495	4
20240509 154140	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0918079306777042	0.630473999286441	1326	253	14251	57112487.2563718	5
20240509 154603	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.338108677318315	0.533679576970253	220	375	13360	53351784.107946	6
20240509 155144	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	500	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.124497028747953	0.750853915210491	1869	1794	13073	57650565.2173913	7
20240509 155632	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	183	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.261777707814562	0.741794703753735	1282	1088	14210	55639625.1874063	8
20240509 155901	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	91	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.178855189910538	0.798769286331723	119	779	10927	58490904.047976	9
20240509 160231	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.478068850292084	0.524774872593855	622	1345	12001	56130973.0134933	10
20240509 160627	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	64	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.447986608548518	0.879228443059725	1101	828	13955	53542316.3418291	11
20240509 161627	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	286	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0691768858820531	0.847964464046901	1931	486	14992	58301601.1994003	12
20240509 162309	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	667	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.0347949844608623	0.687603728420002	808	1661	10940	61277871.0644678	13
20240509 162719	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.420004485399185	0.558773754077251	1787	1590	11096	57654308.8455772	14
20240509 163149	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	387	1	1	1	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.353105975885798	0.850105494719917	468	1884	15298	51844470.7646177	15
