fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	scale_pos_weight	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240506 145635	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	105	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	45.8260571175068	0.160910817340587	0.538300570036871	655	798	12987	58884937.0314843	1
20240506 145757	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	97	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	94.389293029316	0.318141432137209	0.789513810607342	1451	1728	12771	55555185.9070465	2
20240506 145915	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	36	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	73.4824594154608	0.183137412410947	0.756671232378021	286	495	13960	57226206.8965517	3
20240506 150025	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	40.440143369825	0.423554432396852	0.600671157492232	1142	1255	12559	50658832.083958	4
20240506 150225	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	329	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	54.2233157954527	0.0490684742542782	0.878458811631294	1369	1138	12041	61799158.9205397	5
20240506 150456	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	582	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	36.2540474221906	0.429233592303956	0.719962676403168	1824	363	10886	52262719.6401799	6
20240506 150630	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	284	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	56.8288928729272	0.122216639447971	0.67919721780648	1868	1574	11652	61713145.4272864	7
20240506 150754	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	41	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	89.8614332227218	0.369209901107978	0.630060955377454	962	656	12170	53473448.2758621	8
20240506 150905	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	45	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	22.0535025029277	0.242920868336582	0.646483444615397	365	1044	12167	57858040.4797601	9
20240506 151020	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	FALSE	0.1	50	0.5	FALSE	20	101197	68.3636107794081	0.258987574147041	0.839865170584981	475	1150	12078	59322761.6191904	10
