fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	num_threads	seed	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240507 163303	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	109	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.290796986967339	0.294262258304211	0.395404552013381	0.231296681989266	0.722205879247606	1660	1395	11107	58895491.7541229	1
20240507 163456	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	219	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.164178148651874	0.327135868294358	0.61411134911788	0.214779450095171	0.736080672692822	643	1078	14030	56641034.4827586	2
20240507 163620	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.35211352199307	0.591624249464862	0.669326071878189	0.395893280724017	0.699716627673892	365	915	13720	54217931.0344828	3
20240507 163802	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	215	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.561518382353268	0.747236653276871	0.243435796517963	0.147942893450293	0.573731946155353	176	1213	10090	57002503.7481259	4
20240507 164012	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	315	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.52710124400775	0.626803288962213	0.523011715440913	0.358001678380964	0.82176011254887	725	1580	14848	53009763.1184408	5
20240507 164200	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	107	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.675640112498642	0.374351272667341	0.542795026139674	0.325435317783394	0.541223948855421	1183	715	14704	53982692.6536732	6
20240507 164352	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	297	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.428715320849841	0.713238697721076	0.714116128991527	0.128527070103709	0.587260012010996	1510	1260	14534	57793262.3688156	7
20240507 164457	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	96	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.620989188876544	0.102111684047837	0.639898002809296	0.244567701849174	0.68150668172411	1385	1868	11737	58835956.5217391	8
20240507 164803	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	814	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.647679905747128	0.698213463183453	0.369641886258983	0.0308429481671968	0.810024109532495	533	1343	12080	60740869.5652174	9
20240507 165018	1068	300633	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	FALSE	1	0.1	50	0.5	FALSE	20	101197	0.791333176787048	0.450276884756023	0.119487595231337	0.425534913306768	0.642993114053736	1115	1772	15550	51077376.3118441	10
