fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	seed	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240512 062349	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.412556162915817	46	5032	11861	51715890.5547226	1
20240512 062539	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.467625712061879	45	4930	12792	53300941.5292354	2
20240512 062731	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.455657899180313	41	4865	12868	57612551.7241379	3
20240512 062918	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.436694284852302	43	5087	14965	53898823.0884558	4
20240512 063105	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.448076704650874	49	4949	13138	52756374.8125937	5
20240512 063257	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.493363878839809	44	4873	11125	54946619.1904048	6
20240512 063439	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.402395031187489	42	5055	10918	56064230.8845577	7
20240512 063628	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.483311113124258	40	5155	13320	53548965.5172414	8
20240512 063815	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.432591669817316	47	4802	12476	54950170.9145427	9
20240512 064006	1068	271298	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	1	101197	0.485168548296607	50	5188	14303	56994388.3058471	10
